session_id,target
1,0.0003285647600791882
2,2.852945341760324e-06
3,9.310280227543966e-07
4,6.400573558302414e-07
5,0.000198830550971131
6,7.079082740691518e-05
7,0.0029400733260765994
8,0.001853839737029281
9,0.00013319719122730202
10,0.0031563249062015425
11,0.00012457787620747518
12,1.6417077363298207e-05
13,7.943642158716191e-05
14,0.02229252166413836
15,0.0009111083445268323
16,0.00037043728762752834
17,0.020809452885185747
18,1.4592465575189985e-05
19,0.0024771159729738983
20,2.0422473833083235e-06
21,0.03478346809954562
22,3.361431045130225e-05
23,0.0002682448762143454
24,0.011891840341912938
25,0.07976977903412218
26,1.0322618527303852e-05
27,0.00014082585891509906
28,8.471009880589831e-07
29,0.020573117083308706
30,0.001543092399876838
31,0.027850529347365288
32,0.017241340209890443
33,0.00012903421262321717
34,1.662037219395512e-05
35,0.018902254747172248
36,0.0006331866971008341
37,8.276265910642526e-08
38,2.877320138159568e-06
39,0.0004198536564308062
40,1.124330775957857e-05
41,0.0017671658757067868
42,0.006545650076868001
43,0.00010011316145460321
44,0.00011332757018982679
45,0.13997766289234329
46,0.00023453671719159957
47,0.00035377175426847804
48,6.585608756877016e-05
49,0.0002543543640642814
50,8.121255674392454e-06
51,2.431105950888385e-07
52,0.0001123657981380849
53,0.022865115471920477
54,0.0007714955150501154
55,0.0004031016619389676
56,0.020049726111648587
57,1.6031087580687327e-06
58,1.844286294058052e-05
59,2.1250782135847585e-05
60,2.6501915947762255e-06
61,8.621058449192173e-06
62,0.00024355945811903605
63,1.4695695434238386e-05
64,0.0005917967396683895
65,1.1158005380256969e-05
66,6.0776202433264e-06
67,0.00016198663901612948
68,0.0016910485673768867
69,0.05701164567698023
70,4.7974057418041017e-05
71,0.0016330991438151528
72,0.0005378509333881109
73,0.17344379149659325
74,7.290614707631088e-05
75,0.00021748020276290413
76,0.002357557825107057
77,0.001850891800745389
78,0.004882305172143637
79,0.00014352505558772911
80,8.87991122020715e-06
81,1.2738148173173317e-05
82,0.001545561727655946
83,1.246616985371488e-06
84,0.48007555072564007
85,0.00015475344447729448
86,6.108884611428348e-06
87,0.006116152908463211
88,0.0012625552506396378
89,0.0021430132837807303
90,0.05241823468875004
91,3.5349647178898115e-05
92,5.361317113987235e-06
93,0.04616864905285459
94,0.0001772426654923024
95,0.09253810588062668
96,3.143309073604329e-06
97,0.0013478165918058994
98,2.4856556882824556e-05
99,1.9875500167495527e-05
100,0.00018937594709807437
101,5.5381908196129674e-05
102,0.12511470322656798
103,0.00020161958866943508
104,0.0002851186421370301
